id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
633;15/01/2005;30/07/2005;func_105;cat_4;cat_04;cat_038;cat_2;cat_01;cat_1;cat_2;0.16;1;0.33;0.1750837;0.251812496
633;30/07/2005;29/03/2006;func_255;cat_4;cat_04;cat_038;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1468974;0.2932124
1203;15/01/2005;27/01/2006;func_105;cat_4;cat_04;cat_208;cat_2;cat_01;cat_4;cat_2;0.08;1;0.33;0.1734366;0.430943605
509;19/11/2004;3/01/2006;func_155;cat_8;cat_23;cat_445;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.202019;0.468073546
821;17/02/2005;17/02/2005;func_112;cat_4;cat_04;cat_117;cat_2;cat_01;cat_1;cat_3;0;1;0.5;0.168;0.023712937
821;17/02/2005;13/06/2005;func_177;cat_2;cat_09;cat_117;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.157932;0.190379603
821;13/06/2005;15/04/2006;func_177;cat_2;cat_09;cat_117;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1566791;0.355920128
1235;24/04/2005;23/08/2005;func_229;cat_4;cat_04;cat_164;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1601307;0.194453277
1235;23/08/2005;22/04/2006;func_255;cat_4;cat_04;cat_164;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1449412;0.293471529
279;23/05/2004;6/10/2005;func_177;cat_2;cat_02;cat_140;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.157932;0.562831534
191;3/02/2003;11/10/2005;func_177;cat_2;cat_15;cat_049;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1847451;0.833179728
1126;1/02/2005;18/03/2006;func_177;cat_2;cat_08;cat_388;cat_2;cat_01;cat_4;cat_4;0.12;1;0.33;0.1669216;0.468073546
1126;18/03/2006;7/08/2007;func_216;cat_2;cat_08;cat_388;cat_2;cat_01;cat_4;cat_4;0.04;1;0.33;0.160251;0.568947966
632;19/12/2003;13/11/2004;func_041;cat_4;cat_04;cat_168;cat_1;cat_01;cat_4;cat_3;0.04;1;0.58;0.158002;0.381037614
632;13/11/2004;20/04/2006;func_168;cat_2;cat_11;cat_370;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1712556;0.585339555
879;25/02/2005;1/02/2006;func_177;cat_2;cat_09;cat_224;cat_1;cat_01;cat_1;cat_3;0.04;1;0.33;0.1781471;0.392934794
838;28/07/2004;8/06/2005;func_227;cat_4;cat_04;cat_095;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1570712;0.365679499
207;4/04/2004;23/10/2004;func_177;cat_2;cat_04;cat_168;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1549739;0.257573363
877;12/04/2004;14/01/2005;func_155;cat_3;cat_02;cat_162;cat_2;cat_01;cat_3;cat_3;0.12;1;0.33;0.1602065;0.326704438
5;5/12/2004;29/03/2005;func_040;cat_3;cat_02;cat_139;cat_2;cat_01;cat_7;cat_2;0.08;0.8;0.42;0.1906248;0.189575814
205;9/07/2003;14/06/2004;func_177;cat_2;cat_05;cat_450;cat_1;cat_01;cat_7;cat_3;0.04;1;0.33;0.1326542;0.392934794
400;2/03/2004;11/01/2005;func_039;cat_3;cat_02;cat_419;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1470588;0.36592905
400;11/01/2005;21/03/2006;func_155;cat_3;cat_17;cat_421;cat_2;cat_01;cat_4;cat_2;0.12;1;0.33;0.1592327;0.493371105
805;19/07/2005;27/09/2006;func_155;cat_3;cat_05;cat_410;cat_2;cat_01;cat_4;cat_4;0.12;1;0.33;0.1657908;0.493371105
805;27/11/2004;19/07/2005;func_187;cat_3;cat_05;cat_410;cat_2;cat_01;cat_4;cat_3;0.2;1;0.42;0.1805314;0.286099902
805;27/09/2006;1/08/2007;func_187;cat_3;cat_05;cat_406;cat_2;cat_01;cat_4;cat_4;0;1;0.33;0.1535948;0.359040174
1024;2/03/2004;11/01/2005;func_039;cat_3;cat_03;cat_390;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1437908;0.36592905
1024;11/01/2005;21/03/2006;func_155;cat_3;cat_03;cat_396;cat_2;cat_01;cat_4;cat_4;0.12;1;0.33;0.1576922;0.493371105
614;15/01/2005;27/05/2005;func_168;cat_2;cat_23;cat_047;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1877647;0.20176861
614;27/05/2005;24/01/2006;func_255;cat_2;cat_23;cat_047;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1468974;0.2932124
855;11/12/2003;3/02/2005;func_177;cat_2;cat_10;cat_154;cat_2;cat_01;cat_1;cat_4;0.16;1;0.33;0.1693353;0.477735344
278;7/09/2005;23/10/2006;func_177;cat_2;cat_04;cat_190;cat_1;cat_01;cat_4;cat_3;0.08;1;0.33;0.1521556;0.467804044
278;21/08/2004;7/09/2005;func_216;cat_2;cat_04;cat_190;cat_1;cat_01;cat_4;cat_3;0.2;1;0.42;0.1915817;0.437848637
976;13/08/2004;4/03/2005;func_041;cat_4;cat_04;cat_189;cat_2;cat_01;cat_3;cat_3;0.04;1;0.58;0.1753078;0.258186294
335;25/08/2005;27/06/2006;func_216;cat_2;cat_05;cat_424;cat_2;cat_01;cat_4;cat_2;0;1;0.33;0.1732026;0.35704627
592;2/11/2005;14/03/2006;func_177;cat_2;cat_04;cat_166;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1689889;0.20176861
592;6/03/2005;6/03/2005;func_216;cat_2;cat_04;cat_166;cat_2;cat_01;cat_1;cat_3;0.16;1;0.42;0.1871235;0.068947966
592;6/03/2005;2/11/2005;func_255;cat_2;cat_04;cat_166;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1468974;0.2932124
